isced11,hlth_pb,sex,age,geo,OBS_VALUE,OBS_FLAG
ED0-2,DPR,F,TOTAL,BE,13,
ED0-2,DPR,F,Y15-24,BE,6.2,
ED0-2,DPR,F,Y25-34,BE,25.8,
ED0-2,DPR,F,Y35-44,BE,20.7,
ED0-2,DPR,F,Y45-54,BE,22.2,
ED0-2,DPR,F,Y55-64,BE,17.5,
ED0-2,DPR,F,Y65-74,BE,11.6,
ED0-2,DPR,F,Y_GE75,BE,6.9,
ED3_4,DPR,F,TOTAL,BE,8.7,
ED3_4,DPR,F,Y15-24,BE,10.8,
ED3_4,DPR,F,Y15-64,BE,9.3,
ED3_4,DPR,F,Y25-34,BE,6.8,
ED3_4,DPR,F,Y35-44,BE,5.9,
ED3_4,DPR,F,Y45-54,BE,16.7,
ED3_4,DPR,F,Y45-64,BE,11.4,
ED3_4,DPR,F,Y55-64,BE,5.7,
ED3_4,DPR,F,Y65-74,BE,6.4,
ED3_4,DPR,F,Y_GE65,BE,6.2,
ED3_4,DPR,F,Y_GE75,BE,6,
ED5-8,DPR,F,TOTAL,BE,7.5,
ED5-8,DPR,F,Y15-24,BE,0.7,
ED5-8,DPR,F,Y15-64,BE,8,
ED5-8,DPR,F,Y25-34,BE,7,
ED5-8,DPR,F,Y35-44,BE,9.3,
ED5-8,DPR,F,Y45-54,BE,7.7,
ED5-8,DPR,F,Y45-64,BE,8.2,
ED5-8,DPR,F,Y55-64,BE,9,
ED5-8,DPR,F,Y65-74,BE,5.4,
ED5-8,DPR,F,Y_GE65,BE,4.5,
ED5-8,DPR,F,Y_GE75,BE,2.8,
TOTAL,DPR,F,TOTAL,BE,9.6,
TOTAL,DPR,F,Y15-24,BE,8,
TOTAL,DPR,F,Y15-64,BE,10.3,
TOTAL,DPR,F,Y25-34,BE,9.4,
TOTAL,DPR,F,Y35-44,BE,10.2,
TOTAL,DPR,F,Y45-54,BE,13,
TOTAL,DPR,F,Y45-64,BE,11.5,
TOTAL,DPR,F,Y55-64,BE,10.1,
TOTAL,DPR,F,Y65-74,BE,8.7,
TOTAL,DPR,F,Y_GE65,BE,7.3,
TOTAL,DPR,F,Y_GE75,BE,5.9,
ED0-2,DPR,M,TOTAL,BE,8.9,
ED0-2,DPR,M,Y15-24,BE,3.1,
ED0-2,DPR,M,Y15-64,BE,10.1,
ED0-2,DPR,M,Y25-34,BE,13.1,
ED0-2,DPR,M,Y35-44,BE,20.4,
ED0-2,DPR,M,Y45-54,BE,8.5,
ED0-2,DPR,M,Y45-64,BE,11.4,
ED0-2,DPR,M,Y55-64,BE,13.6,
ED0-2,DPR,M,Y65-74,BE,6,
ED0-2,DPR,M,Y_GE65,BE,5.9,
ED0-2,DPR,M,Y_GE75,BE,5.8,
ED3_4,DPR,M,TOTAL,BE,8,
ED3_4,DPR,M,Y15-24,BE,9,
ED3_4,DPR,M,Y15-64,BE,8.4,
ED3_4,DPR,M,Y25-34,BE,5.4,
ED3_4,DPR,M,Y35-44,BE,11.4,
ED3_4,DPR,M,Y45-54,BE,7.7,
ED3_4,DPR,M,Y45-64,BE,8,
ED3_4,DPR,M,Y55-64,BE,8.4,
ED3_4,DPR,M,Y65-74,BE,2.9,
ED3_4,DPR,M,Y_GE65,BE,5.7,
ED3_4,DPR,M,Y_GE75,BE,9.6,
ED5-8,DPR,M,TOTAL,BE,4.9,
ED5-8,DPR,M,Y15-24,BE,,
ED5-8,DPR,M,Y15-64,BE,5.2,
ED5-8,DPR,M,Y25-34,BE,4,
ED5-8,DPR,M,Y35-44,BE,6.2,
ED5-8,DPR,M,Y45-54,BE,5.4,
ED5-8,DPR,M,Y45-64,BE,5.5,
ED5-8,DPR,M,Y55-64,BE,5.6,
ED5-8,DPR,M,Y65-74,BE,3.2,
ED5-8,DPR,M,Y_GE65,BE,3.3,
ED5-8,DPR,M,Y_GE75,BE,3.7,
TOTAL,DPR,M,TOTAL,BE,7.2,
TOTAL,DPR,M,Y15-24,BE,5.7,
TOTAL,DPR,M,Y15-64,BE,7.7,
TOTAL,DPR,M,Y25-34,BE,5.9,
TOTAL,DPR,M,Y35-44,BE,10.2,
TOTAL,DPR,M,Y45-54,BE,6.8,
TOTAL,DPR,M,Y45-64,BE,8,
TOTAL,DPR,M,Y55-64,BE,9.4,
TOTAL,DPR,M,Y65-74,BE,3.9,
TOTAL,DPR,M,Y_GE65,BE,5,
TOTAL,DPR,M,Y_GE75,BE,6.4,
ED0-2,DPR,T,TOTAL,BE,11.1,
ED0-2,DPR,T,Y15-24,BE,4.6,
ED0-2,DPR,T,Y15-64,BE,13,
ED0-2,DPR,T,Y25-34,BE,18.7,
ED0-2,DPR,T,Y35-44,BE,20.5,
ED0-2,DPR,T,Y45-54,BE,15.1,
ED0-2,DPR,T,Y45-64,BE,15.5,
ED0-2,DPR,T,Y55-64,BE,15.7,
ED0-2,DPR,T,Y65-74,BE,9.4,
ED0-2,DPR,T,Y_GE65,BE,7.8,
ED0-2,DPR,T,Y_GE75,BE,6.5,
ED3_4,DPR,T,TOTAL,BE,8.3,
ED3_4,DPR,T,Y15-24,BE,9.8,
ED3_4,DPR,T,Y15-64,BE,8.9,
ED3_4,DPR,T,Y25-34,BE,6,
ED3_4,DPR,T,Y35-44,BE,9,
ED3_4,DPR,T,Y45-54,BE,12,
ED3_4,DPR,T,Y45-64,BE,9.6,
ED3_4,DPR,T,Y55-64,BE,7.1,
ED3_4,DPR,T,Y65-74,BE,4.6,
ED3_4,DPR,T,Y_GE65,BE,6,
ED3_4,DPR,T,Y_GE75,BE,7.7,
ED5-8,DPR,T,TOTAL,BE,6.3,
ED5-8,DPR,T,Y15-24,BE,0.4,
ED5-8,DPR,T,Y15-64,BE,6.7,
ED5-8,DPR,T,Y25-34,BE,5.7,
ED5-8,DPR,T,Y35-44,BE,7.9,
ED5-8,DPR,T,Y45-54,BE,6.6,
ED5-8,DPR,T,Y45-64,BE,6.9,
ED5-8,DPR,T,Y55-64,BE,7.4,
ED5-8,DPR,T,Y65-74,BE,4.3,
ED5-8,DPR,T,Y_GE65,BE,3.9,
ED5-8,DPR,T,Y_GE75,BE,3.2,
TOTAL,DPR,T,TOTAL,BE,8.4,
TOTAL,DPR,T,Y15-24,BE,6.8,
TOTAL,DPR,T,Y15-64,BE,9,
TOTAL,DPR,T,Y25-34,BE,7.7,
TOTAL,DPR,T,Y35-44,BE,10.2,
TOTAL,DPR,T,Y45-54,BE,9.9,
TOTAL,DPR,T,Y45-64,BE,9.8,
TOTAL,DPR,T,Y55-64,BE,9.7,
TOTAL,DPR,T,Y65-74,BE,6.4,
TOTAL,DPR,T,Y_GE65,BE,6.3,
TOTAL,DPR,T,Y_GE75,BE,6.1,
